PERMNO,date,TICKER,COMNAM,NAICS,CUSIP,PRC
65875,31/12/2012,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,43.27
65875,31/01/2013,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,43.61
65875,28/02/2013,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,46.53
65875,28/03/2013,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,49.15
65875,30/04/2013,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,53.91
65875,31/05/2013,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,48.48
65875,28/06/2013,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,50.34
65875,31/07/2013,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,49.48
65875,30/08/2013,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,47.38
65875,30/09/2013,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,46.675
65875,31/10/2013,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,50.51
65875,29/11/2013,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,49.62
65875,31/12/2013,VZ,VERIZON COMMUNICATIONS INC,517110,92343V10,49.14
65875,31/01/2014,VZ,VERIZON COMMUNICATIONS INC,517911,92343V10,48.02
65875,28/02/2014,VZ,VERIZON COMMUNICATIONS INC,517911,92343V10,47.58
65875,31/03/2014,VZ,VERIZON COMMUNICATIONS INC,517911,92343V10,47.57
65875,30/04/2014,VZ,VERIZON COMMUNICATIONS INC,517911,92343V10,46.73
65875,30/05/2014,VZ,VERIZON COMMUNICATIONS INC,517911,92343V10,49.96
65875,30/06/2014,VZ,VERIZON COMMUNICATIONS INC,517911,92343V10,48.93
65875,31/07/2014,VZ,VERIZON COMMUNICATIONS INC,517911,92343V10,50.42
65875,29/08/2014,VZ,VERIZON COMMUNICATIONS INC,517911,92343V10,49.82
65875,30/09/2014,VZ,VERIZON COMMUNICATIONS INC,517911,92343V10,49.99
